,Sentiment_score,Emotion,Episode,Season
monica,0.8442,Surprise,Episode-22-The One With the Ick Factor,Season-01
monica,0.8481,Sad,Episode-23-The One With the Birth,Season-01
monica,0.9621,Surprise,Episode-24-The One Where Rachel Finds Out,Season-01
monica,0.3729,Surprise,Episode-01-The One With Ross' New Girlfriend,Season-02
monica,0.5594,Surprise,Episode-02-The One With the Breast Milk,Season-02
monica,0.8696,Surprise,Episode-03-The One Where Mr. Heckles Dies,Season-02
monica,-0.5423,Sad,Episode-04-The One With Phoebe's Husband,Season-02
monica,0.8689,Fear,Episode-05-The One With Five Steaks and an Eggplant,Season-02
monica,0.9473,Surprise,Episode-06-The One With the Baby on the Bus,Season-02
monica,-0.3612,Surprise,Episode-07-The One Where Ross Finds Out,Season-02
monica,0.9509,Surprise,Episode-08-The One With the List,Season-02
monica,-0.6453,Surprise,Episode-09-The One With Phoebe's Dad,Season-02
monica,0.296,Surprise,Episode-10-The One With Russ,Season-02
monica,0.947,Surprise,Episode-11-The One With the Lesbian Wedding,Season-02
monica,-0.5106,Surprise,Episode-12-02x13 - The One After the Superbowl,Season-02
monica,0.5563,Surprise,Episode-14-The One With the Prom Video,Season-02
monica,0.9201,Surprise,Episode-15-The One Where Rachel and Ross... You Know,Season-02
monica,0.9779,Sad,Episode-16-The One Where Joey Moves Out,Season-02
monica,0.7906,Sad,Episode-17-The One Where Eddie Moves In,Season-02
monica,0.5908,Sad,Episode-18-The One Where Dr. Remore Dies,Season-02
monica,0.7964,Surprise,Episode-19-The One Where Eddie Won't Go,Season-02
monica,0.9521,Surprise,Episode-20-The One Where Old Yeller Dies,Season-02
monica,0.1189,Sad,Episode-21-The One With the Two Bullies,Season-02
monica,0.9479,Fear,Episode-22-The One With the Two Parties,Season-02
monica,0.8992,Sad,Episode-23-The One With the Chicken Pox,Season-02
monica,0.8678,Surprise,Episode-24-The One With Barry and Mindy's Wedding,Season-02
monica,-0.6705,Surprise,Episode-01-The One With the Princess Leia Fantasy,Season-03
monica,0.9712,Fear,Episode-02-The One Where No-one's Ready,Season-03
monica,0.5423,Surprise,Episode-03-The One With the Jam,Season-03
monica,0.4939,Surprise,Episode-04-The One with the Metaphorical Tunnel,Season-03
